道,11079
不,8883
一,7970
了,7753
那,7517
我,7225
是,6499
来,5995
他,5752
个,5705
行,5630
你,5523
的,5434
者,4990
有,4489
大,4231
得,3846
这,3808
上,3777
去,3700
见,3430
老,3413
人,3381
三,3361
在,3361
下,3045
子,2986
也,2946
僧,2859
里,2834
王,2715
天,2641
师,2623
之,2551
又,2500
着,2493
只,2491
说,2328
妖,2314
出,2297
八,2269
与,2239
头,2148
就,2094
此,2094
山,2061
却,2047
看,2040
儿,1994
将,1920
父,1897
好,1888
戒,1868
前,1840
门,1804
如,1803
无,1765
圣,1732
中,1718
把,1703
打,1648
身,1638
时,1624
藏,1603
等,1595
小,1584
怪,1557
么,1547
心,1472
到,1451
唐,1443
何,1443
怎,1427
叫,1425
们,1420
长,1395
要,1388
金,1378
日,1375
手,1368
知,1359
孙,1359
言,1324
回,1311
两,1301
正,1298
走,1292
十,1286
家,1283
生,1283
二,1246
还,1216
处,1208
住,1202
神,1192
众,1187
都,1183
弟,1178
声,1172
甚,1171
云,1152
马,1143
水,1126
沙,1110
方,1095
真,1093
今,1088
起,1078
空,1068
路,1064
些,1043
风,1043
精,1039
地,1034
四,1031
和,1024
教,1020
笑,1018
吃,1015
做,1001
即,994
听,992
可,988
自,980
多,979
为,969
拿,960
面,956
国,956
经,940
若,938
事,930
问,929
变,927
后,917
口,916
仙,910
过,909
开,907
西,904
果,890
相,889
然,880
魔,875
请,870
龙,868
闻,864
才,862
宝,856
且,848
取,839
尚,836
火,821
洞,817
当,814
年,799
菩,799
进,793
拜,790
萨,788
高,781
放,780
徒,776
至,769
佛,768
分,768
便,761
五,759
光,756
法,756
罢,754
莫,752
官,747
边,744
间,740
哩,738
花,728
敢,725
太,719
命,717
悟,716
曾,716
难,715
明,711
几,707
万,694
女,690
喜,690
往,689
外,685
千,684
会,681
本,680
猴,661
棒,649
东,646
公,641
被,630
名,629
坐,628
能,627
宫,621
原,621
气,611
早,609
入,607
作,603
使,598
倒,596
哥,589
乃,586
玉,584
兄,582
救,581
同,573
而,572
化,571
死,570
急,570
朝,568
般,566
爷,564
没,557
观,554
寻,550
收,550
再,547
用,546
念,540
百,536
土,536
径,529
定,528
齐,523
各,523
礼,522
意,517
先,516
主,515
话,514
白,510
似,507
物,504
战,503
但,503
海,502
星,500
眼,498
成,497
殿,496
半,496
对,493
解,493
想,492
安,491
动,489
以,488
城,486
因,486
衣,483
送,481
惊,478
转,477
兵,474
呆,472
性,470
尽,469
斗,466
谢,464
飞,459
君,459
内,457
已,457
香,457
快,452
满,446
报,444
铁,444
通,439
望,439
降,436
六,435
力,434
南,425
更,419
斋,419
啊,419
石,414
字,406
灵,405
怕,403
发,402
文,402
月,400
夜,400
近,399
随,397
认,392
数,389
忽,388
七,386
杀,385
未,385
跳,384
从,383
既,381
赶,380
少,377
九,377
帝,375
黄,373
须,371
故,370
弄,370
乱,369
迎,366
情,365
传,363
样,362
娘,362
落,361
善,358
亲,356
待,356
驾,355
向,353
合,353
远,352
清,352
虎,352
必,350
功,346
点,345
语,345
苦,343
管,341
红,341
直,341
慌,340
猪,338
实,338
色,337
暗,336
受,336
干,335
依,332
条,332
寺,331
树,331
母,329
求,325
接,325
象,325
音,324
俱,324
连,322
脱,322
细,322
旨,321
于,321
位,320
罗,320
喝,317
钯,316
根,316
脚,315
领,314
李,313
差,309
忙,309
假,308
睡,308
唤,307
嘴,307
恐,307
伤,306
卷,305
带,304
雨,304
奏,302
欢,302
酒,301
所,299
立,298
耳,298
河,295
鬼,294
毛,294
刀,294
奉,294
木,292
扯,290
贝,290
步,290
关,290
紧,288
毕,287
座,286
士,286
保,283
摇,280
张,280
府,279
阴,279
青,278
害,277
流,276
抬,275
留,275
牛,275
穿,273
胜,273
饭,273
罪,272
草,270
雷,269
恩,269
左,268
扇,268
称,268
遂,268
常,266
举,266
现,265
休,264
祖,264
界,263
童,262
呼,262
净,262
伏,262
重,261
世,261
归,260
脸,258
令,257
深,256
林,251
第,251
松,251
护,250
纵,247
散,246
轻,246
件,246
丹,245
皆,245
双,244
泼,244
理,243
丈,242
指,242
灯,242
排,242
场,241
破,241
撞,240
施,240
箍,239
顶,239
骂,239
应,238
楼,238
盘,237
捉,236
别,236
尊,235
许,235
阵,234
告,234
平,233
皇,233
雾,232
修,232
全,232
右,232
欲,230
古,229
容,229
器,228
夫,228
遇,228
响,227
曰,227
虽,227
引,226
贼,226
御,225
哭,225
肯,224
晚,224
婆,224
黑,223
烧,222
计,222
阳,222
旁,221
比,221
其,220
舍,220
离,219
觉,218
房,218
堂,217
元,217
皮,216
寿,215
轮,215
棍,215
彩,214
茶,214
绳,213
钻,212
怒,210
偷,209
银,209
台,209
强,208
复,208
活,208
凡,207
兢,207
臣,207
凶,206
持,206
邪,206
消,204
晓,204
杖,202
滚,201
恶,200
宗,200
枪,200
服,199
讲,198
丢,198
贫,196
按,196
信,195
翻,194
摆,194
咒,194
厮,194
幌,193
烟,193
诗,192
锦,192
奈,192
汉,191
药,191
腰,191
整,191
忍,191
失,191
唬,191
断,190
照,190
书,190
识,189
泪,189
贤,189
岁,189
首,187
久,186
跟,185
答,185
思,185
饶,184
桃,184
跑,182
造,181
结,181
姓,181
华,181
崖,181
遍,180
担,180
武,180
玄,180
推,180
题,179
禅,179
特,178
该,178
毫,177
叉,176
段,175
执,175
筋,174
退,174
钉,174
宿,173
虚,172
素,172
谁,172
跪,172
壁,172
败,172
挂,171
群,171
养,171
