2017-10-27 16:32:56
count:123
symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,per_d,nta,pb,mktcap,nmc,turnoverratio,favor,guba,
sz000839,000839,中信国安,11.180,0.230,2.100,11.170,11.180,10.950,10.980,11.300,10.880,111628125,1243785323,16:33:03,190.46,6.257,4382365.86154,4381450.05184,2.84838,
sh600119,600119,长江投资,17.720,-0.340,-1.883,17.710,17.730,18.060,17.790,18.290,17.480,30602229,544968133,15:00:00,38.522,5.852,544712.8,544712.8,9.95518,
sz000933,000933,神火股份,10.380,-0.410,-3.800,10.370,10.380,10.790,10.700,10.730,10.350,47844704,502149780,16:33:03,57.667,3.027,1972719,1972615.6671,2.51761,
sz000010,000010,美丽生态,6.320,-0.200,-3.067,6.320,6.330,6.520,6.540,6.570,6.200,64861405,415189339,16:33:03,130.041,2.388,518148.178616,330012.386736,12.42148,
sh600260,600260,凯乐科技,29.440,0.250,0.857,29.440,29.490,29.190,29.300,29.980,29.220,12889016,380796265,15:00:00,107.72,4.84,2086850.05171,1587902.72755,2.38965,
sh600884,600884,杉杉股份,21.310,-0.380,-1.752,21.300,21.310,21.690,21.500,21.830,21.170,16043998,344594785,15:00:00,52.748,2.752,2392612.18517,1751077.84871,1.9525,
sh600110,600110,诺德股份,12.360,-0.300,-2.370,12.370,12.380,12.660,12.620,12.720,12.320,24318763,304302178,15:00:00,537.391,6.999,1421785.75189,1421785.75189,2.1141,
sz000915,000915,山大华特,36.750,1.050,2.941,36.720,36.750,35.700,35.790,36.970,35.500,7899698,286720520,16:33:03,33.409,5.849,861168.207375,857864.279475,3.38415,
sh600846,600846,同济科技,11.940,0.090,0.760,11.930,11.940,11.850,11.930,12.120,11.830,23907879,286072500,15:00:00,41.073,3.94,745965.250104,745965.250104,3.82672,
sh601992,601992,金隅股份,6.020,-0.110,-1.795,6.020,6.030,6.130,6.130,6.160,6.010,46179802,280940407,15:00:00,24.08,1.591,6428018.22267,4903433.89004,0.56695,
sh600704,600704,物产中大,7.800,-0.230,-2.864,7.790,7.800,8.030,7.970,8.000,7.770,33107148,261058174,15:00:00,11.642,2.048,3359212.28526,1043402.41512,2.47494,
sh603183,603183,建研院,53.790,0.060,0.112,53.770,53.790,53.730,53.010,56.000,53.010,4024387,219885174,15:00:00,64.807,7.734,473352,118338,18.29267,
sz000710,000710,贝瑞基因,62.450,0.340,0.547,62.410,62.450,62.110,62.980,64.680,62.360,3267409,208111788,16:33:03,-2254.513,15.018,2214513.62692,944213.3995,2.16105,
sz000507,000507,珠海港,10.360,-0.220,-2.079,10.360,10.370,10.580,10.530,10.650,10.340,18863249,197751979,16:33:03,78.485,3.029,817964.392084,799940.954008,2.44297,
