symbol,name,ticktime,price,volume,prev_price,kind,settlement,ratio_avg_volume_20,
sz000839,中信国安,10:48:36,13.730,562900,13.730,U,12.510,46,
sh601099,太平洋,10:48:21,4.010,991825,4.010,U,3.960,232,
sz000401,冀东水泥,10:48:15,14.490,508100,14.490,D,14.390,198,
sh600028,中国石化,10:48:12,6.230,640400,6.230,U,6.290,46,
sz000839,中信国安,10:47:57,13.760,661545,13.760,U,12.510,54,
sz000839,中信国安,10:47:54,13.760,1536955,13.760,D,12.510,125,
sz000839,中信国安,10:47:51,13.760,875400,13.760,D,12.510,71,
sz000839,中信国安,10:47:48,13.760,643000,13.760,D,12.510,52,
sz000839,中信国安,10:47:45,13.760,524100,13.760,D,12.510,42,
sz000839,中信国安,10:47:42,13.760,1099800,13.760,D,12.510,89,
sz000839,中信国安,10:47:39,13.760,701555,13.760,D,12.510,57,
sz000839,中信国安,10:47:36,13.760,521300,13.760,D,12.510,42,
sz000725,京东方Ａ,10:47:36,6.670,558100,6.670,D,6.530,4,
sh601099,太平洋,10:47:24,4.010,541400,4.000,U,3.960,126,
sh601398,工商银行,10:47:15,6.070,548825,6.070,D,6.070,25,
sh600808,马钢股份,10:47:09,4.180,515900,4.190,D,4.210,68,
sh601398,工商银行,10:47:09,6.070,958100,6.070,D,6.070,44,
sh601398,工商银行,10:47:00,6.080,544200,6.070,U,6.070,25,
sz000725,京东方Ａ,10:47:00,6.680,773400,6.680,D,6.530,5,
sz000839,中信国安,10:47:00,13.760,1745352,13.760,D,12.510,141,
sz000839,中信国安,10:46:57,13.760,3473800,13.760,U,12.510,281,
sh601099,太平洋,10:46:54,4.000,2860746,3.990,U,3.960,668,
sh601398,工商银行,10:46:51,6.070,603400,6.070,D,6.070,28,
sz000839,中信国安,10:46:51,13.720,5244800,13.720,D,12.510,425,
sz000413,东旭光电,10:46:45,10.700,506500,10.710,D,10.630,61,
sz002156,通富微电,10:46:36,12.510,549100,12.510,D,12.750,182,
sz000587,金洲慈航,10:46:33,6.620,502000,6.620,D,6.670,173,
sz000839,中信国安,10:46:24,13.700,611200,13.650,U,12.510,50,
sh600018,上港集团,10:46:06,7.880,524300,7.860,U,7.690,46,
sz000587,金洲慈航,10:45:51,6.630,501700,6.620,U,6.670,173,
sh601377,兴业证券,10:45:45,8.010,691050,8.000,U,7.890,179,
sh600611,大众交通,10:45:39,5.400,512650,5.370,U,5.370,306,
sh601377,兴业证券,10:45:39,7.980,782400,7.980,D,7.890,203,
sh601398,工商银行,10:45:33,6.070,688400,6.070,D,6.070,32,
sh600018,上港集团,10:45:15,7.850,528300,7.850,U,7.690,46,
sz000166,申万宏源,10:45:15,5.650,600200,5.650,U,5.640,258,
